time,open,high,low,close,volume
2026-02-18 09:10:00+00:00,0.9186,0.9189,0.9181,0.9185,8466.3
2026-02-18 09:15:00+00:00,0.9185,0.9187,0.9162,0.9175,15570.8
2026-02-18 09:20:00+00:00,0.9173,0.9175,0.9167,0.9169,18796.7
2026-02-18 09:25:00+00:00,0.9171,0.9176,0.9162,0.9167,11723.5
2026-02-18 09:30:00+00:00,0.9165,0.9194,0.9163,0.9191,14203.5
2026-02-18 09:35:00+00:00,0.9191,0.9193,0.9185,0.9187,9910.4
2026-02-18 09:40:00+00:00,0.9187,0.9189,0.9184,0.9186,8929.9
2026-02-18 09:45:00+00:00,0.9186,0.9188,0.9173,0.9175,8623.6
2026-02-18 09:50:00+00:00,0.9175,0.9184,0.9171,0.9178,8411.2
2026-02-18 09:55:00+00:00,0.9178,0.9178,0.9163,0.9178,23768.5
2026-02-18 10:00:00+00:00,0.9178,0.9183,0.9173,0.9182,7893.1
2026-02-18 10:05:00+00:00,0.9182,0.9187,0.9175,0.9187,7814.7
2026-02-18 10:10:00+00:00,0.9187,0.9201,0.9185,0.9191,11291.2
2026-02-18 10:15:00+00:00,0.9191,0.9193,0.9171,0.9171,8027.5
2026-02-18 10:20:00+00:00,0.9173,0.9185,0.9171,0.918,8458.4
2026-02-18 10:25:00+00:00,0.918,0.9181,0.917,0.9179,9202.0
2026-02-18 10:30:00+00:00,0.9181,0.9181,0.9136,0.9139,34728.8
2026-02-18 10:35:00+00:00,0.9139,0.9141,0.9123,0.9124,22673.7
2026-02-18 10:40:00+00:00,0.9126,0.9135,0.9105,0.9105,14368.2
2026-02-18 10:45:00+00:00,0.9105,0.9108,0.9091,0.9099,27977.4
2026-02-18 10:50:00+00:00,0.9099,0.9106,0.9092,0.9099,12446.4
2026-02-18 10:55:00+00:00,0.9101,0.9101,0.9075,0.9086,36553.2
2026-02-18 11:00:00+00:00,0.9088,0.91,0.9084,0.9096,11749.8
2026-02-18 11:05:00+00:00,0.9096,0.9102,0.8995,0.901,76085.0
2026-02-18 11:10:00+00:00,0.9004,0.906,0.8985,0.9059,61484.4
2026-02-18 11:15:00+00:00,0.9059,0.9068,0.9049,0.9065,17911.6
2026-02-18 11:20:00+00:00,0.9065,0.9068,0.9053,0.906,11246.8
2026-02-18 11:25:00+00:00,0.9062,0.9067,0.9052,0.9059,13366.7
2026-02-18 11:30:00+00:00,0.9061,0.907,0.905,0.9056,12429.9
2026-02-18 11:35:00+00:00,0.9058,0.9068,0.9045,0.9057,13433.2
2026-02-18 11:40:00+00:00,0.9057,0.9065,0.9045,0.9063,10879.2
2026-02-18 11:45:00+00:00,0.9065,0.9085,0.906,0.9074,17785.1
2026-02-18 11:50:00+00:00,0.9072,0.9074,0.9064,0.9068,9876.9
2026-02-18 11:55:00+00:00,0.907,0.9072,0.9038,0.9049,26178.0
2026-02-18 12:00:00+00:00,0.9049,0.907,0.9041,0.906,29812.0
2026-02-18 12:05:00+00:00,0.9058,0.9068,0.9032,0.9037,12728.4
2026-02-18 12:10:00+00:00,0.9035,0.9058,0.903,0.9038,13471.3
2026-02-18 12:15:00+00:00,0.9042,0.9042,0.902,0.9021,17561.6
2026-02-18 12:20:00+00:00,0.9023,0.9024,0.9001,0.9013,32495.3
2026-02-18 12:25:00+00:00,0.9013,0.9028,0.9011,0.9021,10437.2
2026-02-18 12:30:00+00:00,0.9021,0.9026,0.8952,0.8963,73907.6
2026-02-18 12:35:00+00:00,0.8964,0.899,0.8955,0.8987,45564.0
2026-02-18 12:40:00+00:00,0.8985,0.9022,0.8983,0.902,19766.8
2026-02-18 12:45:00+00:00,0.9022,0.904,0.9017,0.9038,21130.3
2026-02-18 12:50:00+00:00,0.9038,0.9049,0.903,0.9036,17822.4
2026-02-18 12:55:00+00:00,0.9034,0.9036,0.8997,0.901,18400.9
2026-02-18 13:00:00+00:00,0.9008,0.9026,0.8984,0.8984,30528.9
2026-02-18 13:05:00+00:00,0.8984,0.9009,0.8973,0.9009,33196.4
2026-02-18 13:10:00+00:00,0.9007,0.9031,0.9002,0.9023,14938.2
2026-02-18 13:15:00+00:00,0.902,0.9037,0.9,0.9002,11015.3
2026-02-18 13:20:00+00:00,0.9002,0.9011,0.8985,0.9005,115835.0
2026-02-18 13:25:00+00:00,0.9007,0.9041,0.9007,0.9024,14526.7
2026-02-18 13:30:00+00:00,0.9026,0.9026,0.8988,0.9001,18119.1
2026-02-18 13:35:00+00:00,0.9003,0.9006,0.8995,0.9003,17649.2
2026-02-18 13:40:00+00:00,0.9003,0.9005,0.8982,0.8999,16165.1
2026-02-18 13:45:00+00:00,0.8999,0.8999,0.8931,0.8938,64909.5
2026-02-18 13:50:00+00:00,0.8935,0.8942,0.8827,0.8857,433448.8
2026-02-18 13:55:00+00:00,0.8852,0.8874,0.8845,0.886,62171.3
2026-02-18 14:00:00+00:00,0.8859,0.8874,0.8841,0.8854,64935.0
2026-02-18 14:05:00+00:00,0.8856,0.8862,0.8814,0.8856,71761.9
2026-02-18 14:10:00+00:00,0.8858,0.8871,0.8848,0.8868,17766.9
2026-02-18 14:15:00+00:00,0.8869,0.8872,0.885,0.8867,29532.6
2026-02-18 14:20:00+00:00,0.8869,0.889,0.8861,0.8888,27769.9
2026-02-18 14:25:00+00:00,0.8888,0.8896,0.8853,0.8853,25096.5
2026-02-18 14:30:00+00:00,0.8849,0.8905,0.8845,0.8874,33530.6
2026-02-18 14:35:00+00:00,0.8872,0.8916,0.8869,0.889,18892.2
2026-02-18 14:40:00+00:00,0.8892,0.8908,0.8856,0.8865,13546.1
2026-02-18 14:45:00+00:00,0.8868,0.8898,0.8813,0.8835,167459.1
2026-02-18 14:50:00+00:00,0.8838,0.8917,0.8834,0.8917,40394.8
2026-02-18 14:55:00+00:00,0.8915,0.8917,0.8878,0.8881,35812.3
2026-02-18 15:00:00+00:00,0.8881,0.8934,0.8876,0.8932,59163.5
2026-02-18 15:05:00+00:00,0.8934,0.8949,0.892,0.8938,22250.2
2026-02-18 15:10:00+00:00,0.8932,0.8934,0.8903,0.8911,15920.7
2026-02-18 15:15:00+00:00,0.8909,0.8932,0.8905,0.8912,24185.7
2026-02-18 15:20:00+00:00,0.8914,0.895,0.8912,0.8923,46626.9
2026-02-18 15:25:00+00:00,0.8923,0.894,0.8916,0.8936,11919.7
2026-02-18 15:30:00+00:00,0.8938,0.8966,0.8936,0.8956,27372.1
2026-02-18 15:35:00+00:00,0.8954,0.9091,0.8954,0.9091,157183.8
2026-02-18 15:40:00+00:00,0.9088,0.9113,0.9066,0.9086,237336.1
2026-02-18 15:45:00+00:00,0.9084,0.9091,0.9053,0.9053,66632.7
2026-02-18 15:50:00+00:00,0.9053,0.9062,0.9017,0.904,43932.6
2026-02-18 15:55:00+00:00,0.904,0.9042,0.8998,0.9003,33290.3
2026-02-18 16:00:00+00:00,0.9005,0.9028,0.8955,0.8983,105067.8
2026-02-18 16:05:00+00:00,0.8983,0.8983,0.8934,0.8938,82378.7
2026-02-18 16:10:00+00:00,0.894,0.8944,0.8909,0.8927,70985.2
2026-02-18 16:15:00+00:00,0.8927,0.8945,0.8917,0.894,19264.1
2026-02-18 16:20:00+00:00,0.8938,0.8973,0.8938,0.8955,18905.7
2026-02-18 16:25:00+00:00,0.8957,0.8984,0.8955,0.8977,10985.9
2026-02-18 16:30:00+00:00,0.8979,0.8992,0.8938,0.8938,24369.1
2026-02-18 16:35:00+00:00,0.894,0.8964,0.8936,0.8958,31408.5
2026-02-18 16:40:00+00:00,0.8958,0.8975,0.8953,0.8959,18748.1
2026-02-18 16:45:00+00:00,0.8957,0.8966,0.8945,0.895,14817.2
2026-02-18 16:50:00+00:00,0.8948,0.8954,0.8915,0.8928,21877.3
2026-02-18 16:55:00+00:00,0.8928,0.8936,0.8921,0.8934,25637.4
2026-02-18 17:00:00+00:00,0.8934,0.8978,0.8931,0.8976,12574.9
2026-02-18 17:05:00+00:00,0.8978,0.9056,0.8976,0.904,22451.4
2026-02-18 17:10:00+00:00,0.9044,0.9047,0.8975,0.8996,22635.1
2026-02-18 17:15:00+00:00,0.8996,0.9013,0.8986,0.9011,14995.6
2026-02-18 17:20:00+00:00,0.9013,0.9017,0.8973,0.8978,17365.9
2026-02-18 17:25:00+00:00,0.8978,0.898,0.8955,0.8966,13988.9
2026-02-18 17:30:00+00:00,0.8968,0.8988,0.8962,0.8979,8705.4
2026-02-18 17:35:00+00:00,0.8979,0.8987,0.897,0.8984,14830.3
2026-02-18 17:40:00+00:00,0.8986,0.8986,0.8949,0.8954,13882.3
2026-02-18 17:45:00+00:00,0.8964,0.8979,0.8957,0.8974,8873.6
2026-02-18 17:50:00+00:00,0.8972,0.8981,0.8957,0.8966,7877.4
2026-02-18 17:55:00+00:00,0.8961,0.8981,0.8958,0.8967,8718.8
2026-02-18 18:00:00+00:00,0.8971,0.8983,0.8951,0.8951,8893.6
2026-02-18 18:05:00+00:00,0.8951,0.8957,0.8932,0.8938,30652.9
2026-02-18 18:10:00+00:00,0.8944,0.8953,0.8936,0.8943,10984.8
2026-02-18 18:15:00+00:00,0.8945,0.8948,0.8887,0.8893,24063.0
2026-02-18 18:20:00+00:00,0.8893,0.8897,0.8826,0.888,104281.8
2026-02-18 18:25:00+00:00,0.888,0.89,0.887,0.8879,20899.3
2026-02-18 18:30:00+00:00,0.8879,0.8888,0.8853,0.8888,14373.1
2026-02-18 18:35:00+00:00,0.8886,0.8906,0.8878,0.8886,18472.8
2026-02-18 18:40:00+00:00,0.8886,0.8886,0.8761,0.878,167137.7
2026-02-18 18:45:00+00:00,0.8782,0.8837,0.8761,0.883,39923.7
2026-02-18 18:50:00+00:00,0.883,0.8841,0.8788,0.8821,50108.9
2026-02-18 18:55:00+00:00,0.8821,0.8838,0.88,0.88,12097.1
2026-02-18 19:00:00+00:00,0.8802,0.8835,0.8785,0.8821,20068.3
2026-02-18 19:05:00+00:00,0.8821,0.8836,0.8814,0.882,21680.9
2026-02-18 19:10:00+00:00,0.8822,0.8843,0.8778,0.8798,28511.0
2026-02-18 19:15:00+00:00,0.8796,0.8801,0.876,0.878,30853.8
2026-02-18 19:20:00+00:00,0.878,0.8802,0.8768,0.8779,24995.2
2026-02-18 19:25:00+00:00,0.8781,0.879,0.8729,0.8779,112351.2
2026-02-18 19:30:00+00:00,0.8779,0.8783,0.8687,0.8712,46363.1
2026-02-18 19:35:00+00:00,0.8712,0.8728,0.8687,0.871,162038.7
2026-02-18 19:40:00+00:00,0.8708,0.8749,0.8704,0.8731,16826.6
2026-02-18 19:45:00+00:00,0.8733,0.8762,0.8731,0.8739,14587.4
2026-02-18 19:50:00+00:00,0.8739,0.877,0.8734,0.8741,16054.2
2026-02-18 19:55:00+00:00,0.8738,0.8758,0.8721,0.8746,25465.6
2026-02-18 20:00:00+00:00,0.8746,0.8765,0.8735,0.8753,26700.4
2026-02-18 20:05:00+00:00,0.8753,0.8762,0.8728,0.8735,10340.0
2026-02-18 20:10:00+00:00,0.8737,0.8747,0.8724,0.8729,13338.0
2026-02-18 20:15:00+00:00,0.8729,0.8744,0.8707,0.8739,20642.7
2026-02-18 20:20:00+00:00,0.8741,0.8745,0.8719,0.8728,61064.5
2026-02-18 20:25:00+00:00,0.8728,0.8745,0.8722,0.8727,9547.0
2026-02-18 20:30:00+00:00,0.8727,0.8777,0.8727,0.8771,9525.3
2026-02-18 20:35:00+00:00,0.8773,0.8795,0.8767,0.8782,10961.2
2026-02-18 20:40:00+00:00,0.8782,0.8811,0.8766,0.88,22929.8
2026-02-18 20:45:00+00:00,0.88,0.8824,0.8792,0.8812,14613.5
2026-02-18 20:50:00+00:00,0.8812,0.8816,0.8757,0.8775,16439.9
2026-02-18 20:55:00+00:00,0.8777,0.878,0.8746,0.875,15202.3
2026-02-18 21:00:00+00:00,0.8756,0.876,0.8724,0.874,17408.7
2026-02-18 21:05:00+00:00,0.874,0.8749,0.8731,0.8741,17725.4
2026-02-18 21:10:00+00:00,0.8743,0.8763,0.8741,0.8747,17682.9
2026-02-18 21:15:00+00:00,0.8747,0.8761,0.8741,0.8756,12579.1
2026-02-18 21:20:00+00:00,0.8758,0.876,0.8743,0.8756,8174.8
2026-02-18 21:25:00+00:00,0.8754,0.8778,0.875,0.8773,8971.8
2026-02-18 21:30:00+00:00,0.877,0.8784,0.8764,0.8784,9679.8
2026-02-18 21:35:00+00:00,0.8784,0.8789,0.8765,0.8779,10746.7
2026-02-18 21:40:00+00:00,0.8779,0.8784,0.8768,0.8777,8522.8
2026-02-18 21:45:00+00:00,0.8777,0.8778,0.8761,0.8763,10546.6
2026-02-18 21:50:00+00:00,0.8763,0.8763,0.872,0.8725,16196.5
2026-02-18 21:55:00+00:00,0.8725,0.8736,0.8721,0.8732,15448.0
2026-02-18 22:00:00+00:00,0.8732,0.8751,0.8728,0.8746,12481.5
