time,open,high,low,close,volume
2026-02-13 10:00:00+00:00,8.876,8.907,8.861,8.887,80956.0
2026-02-13 11:00:00+00:00,8.885,8.891,8.844,8.867,75937.0
2026-02-13 12:00:00+00:00,8.867,8.867,8.822,8.848,77126.0
2026-02-13 13:00:00+00:00,8.848,8.951,8.837,8.918,102377.0
2026-02-13 14:00:00+00:00,8.92,9.029,8.873,8.981,144426.0
2026-02-13 15:00:00+00:00,8.981,9.215,8.981,9.103,147771.0
2026-02-13 16:00:00+00:00,9.103,9.245,9.086,9.187,99621.0
2026-02-13 17:00:00+00:00,9.189,9.206,9.142,9.161,86183.0
2026-02-13 18:00:00+00:00,9.161,9.197,9.127,9.175,78014.0
2026-02-13 19:00:00+00:00,9.173,9.204,9.16,9.18,82667.0
2026-02-13 20:00:00+00:00,9.182,9.209,9.147,9.202,75233.0
2026-02-13 21:00:00+00:00,9.202,9.241,9.197,9.219,79189.0
2026-02-13 22:00:00+00:00,9.219,9.244,9.175,9.195,75132.0
2026-02-13 23:00:00+00:00,9.193,9.195,9.136,9.14,73380.0
2026-02-14 00:00:00+00:00,9.138,9.206,9.116,9.18,75797.0
2026-02-14 01:00:00+00:00,9.186,9.195,9.157,9.176,76654.0
2026-02-14 02:00:00+00:00,9.176,9.188,9.163,9.182,70653.0
2026-02-14 03:00:00+00:00,9.182,9.218,9.173,9.204,72577.0
2026-02-14 04:00:00+00:00,9.204,9.206,9.17,9.172,72028.0
2026-02-14 05:00:00+00:00,9.17,9.185,9.142,9.16,78927.0
2026-02-14 06:00:00+00:00,9.16,9.172,9.131,9.171,74067.0
2026-02-14 07:00:00+00:00,9.171,9.208,9.167,9.191,75835.0
2026-02-14 08:00:00+00:00,9.189,9.278,9.187,9.261,91584.0
2026-02-14 09:00:00+00:00,9.259,9.265,9.229,9.25,86528.0
2026-02-14 10:00:00+00:00,9.248,9.25,9.218,9.243,76974.0
2026-02-14 11:00:00+00:00,9.243,9.38,9.241,9.369,110448.0
2026-02-14 12:00:00+00:00,9.369,9.391,9.298,9.3,96900.0
2026-02-14 13:00:00+00:00,9.3,9.303,9.246,9.288,113790.0
2026-02-14 14:00:00+00:00,9.288,9.382,9.28,9.371,109668.0
2026-02-14 15:00:00+00:00,9.369,9.38,9.327,9.378,90489.0
2026-02-14 16:00:00+00:00,9.376,9.452,9.336,9.433,119589.0
2026-02-14 17:00:00+00:00,9.431,9.49,9.411,9.464,101123.0
2026-02-14 18:00:00+00:00,9.464,9.558,9.453,9.558,110446.0
2026-02-14 19:00:00+00:00,9.558,9.628,9.489,9.626,119683.0
2026-02-14 20:00:00+00:00,9.626,9.65,9.534,9.59,94716.0
2026-02-14 21:00:00+00:00,9.592,9.648,9.556,9.642,82363.0
2026-02-14 22:00:00+00:00,9.64,9.713,9.627,9.636,103357.0
2026-02-14 23:00:00+00:00,9.638,9.639,9.561,9.586,78755.0
2026-02-15 00:00:00+00:00,9.586,9.618,9.531,9.573,84346.0
2026-02-15 01:00:00+00:00,9.573,9.637,9.518,9.568,78631.0
2026-02-15 02:00:00+00:00,9.568,9.621,9.489,9.544,83030.0
2026-02-15 03:00:00+00:00,9.544,9.596,9.473,9.589,84504.0
2026-02-15 04:00:00+00:00,9.589,9.706,9.579,9.613,87293.0
2026-02-15 05:00:00+00:00,9.615,9.711,9.608,9.68,78114.0
2026-02-15 06:00:00+00:00,9.682,9.69,9.603,9.631,87042.0
2026-02-15 07:00:00+00:00,9.631,9.743,9.627,9.691,91604.0
2026-02-15 08:00:00+00:00,9.691,9.701,9.52,9.578,112358.0
2026-02-15 09:00:00+00:00,9.576,9.642,9.563,9.584,77043.0
2026-02-15 10:00:00+00:00,9.582,9.59,9.505,9.546,82208.0
2026-02-15 11:00:00+00:00,9.544,9.568,9.512,9.525,76147.0
2026-02-15 12:00:00+00:00,9.523,9.54,9.318,9.322,114589.0
