time,open,high,low,close,volume
2026-02-13 10:00:00+00:00,1.276,1.284,1.273,1.281,88606.8
2026-02-13 11:00:00+00:00,1.279,1.282,1.273,1.278,137690.8
2026-02-13 12:00:00+00:00,1.278,1.278,1.269,1.275,92756.7
2026-02-13 13:00:00+00:00,1.275,1.29,1.27,1.282,189230.6
2026-02-13 14:00:00+00:00,1.282,1.299,1.275,1.288,271087.7
2026-02-13 15:00:00+00:00,1.286,1.325,1.285,1.305,341382.2
2026-02-13 16:00:00+00:00,1.304,1.335,1.301,1.323,280039.0
2026-02-13 17:00:00+00:00,1.325,1.329,1.317,1.321,107956.5
2026-02-13 18:00:00+00:00,1.321,1.324,1.312,1.32,125600.5
2026-02-13 19:00:00+00:00,1.32,1.325,1.315,1.323,174915.7
2026-02-13 20:00:00+00:00,1.323,1.33,1.317,1.325,125772.1
2026-02-13 21:00:00+00:00,1.327,1.336,1.325,1.331,109441.7
2026-02-13 22:00:00+00:00,1.331,1.34,1.327,1.33,182782.9
2026-02-13 23:00:00+00:00,1.33,1.332,1.324,1.328,108652.3
2026-02-14 00:00:00+00:00,1.33,1.342,1.328,1.341,129892.4
2026-02-14 01:00:00+00:00,1.338,1.351,1.337,1.347,144319.5
2026-02-14 02:00:00+00:00,1.347,1.349,1.34,1.342,88207.9
2026-02-14 03:00:00+00:00,1.34,1.349,1.34,1.345,86061.8
2026-02-14 04:00:00+00:00,1.345,1.348,1.341,1.343,74863.3
2026-02-14 05:00:00+00:00,1.345,1.351,1.341,1.341,85382.1
2026-02-14 06:00:00+00:00,1.341,1.347,1.337,1.344,95402.6
2026-02-14 07:00:00+00:00,1.344,1.353,1.342,1.344,120127.7
2026-02-14 08:00:00+00:00,1.344,1.364,1.344,1.36,144707.5
2026-02-14 09:00:00+00:00,1.362,1.366,1.359,1.363,102858.6
2026-02-14 10:00:00+00:00,1.363,1.365,1.354,1.356,92929.5
2026-02-14 11:00:00+00:00,1.358,1.373,1.355,1.37,140494.5
2026-02-14 12:00:00+00:00,1.368,1.373,1.363,1.364,141959.7
2026-02-14 13:00:00+00:00,1.366,1.369,1.357,1.366,223944.3
2026-02-14 14:00:00+00:00,1.368,1.392,1.366,1.39,153796.4
2026-02-14 15:00:00+00:00,1.39,1.397,1.384,1.396,156148.3
2026-02-14 16:00:00+00:00,1.396,1.411,1.387,1.407,259814.6
2026-02-14 17:00:00+00:00,1.407,1.415,1.399,1.4,146232.1
2026-02-14 18:00:00+00:00,1.402,1.417,1.399,1.415,107660.1
2026-02-14 19:00:00+00:00,1.413,1.43,1.409,1.424,218136.9
2026-02-14 20:00:00+00:00,1.427,1.43,1.41,1.417,144908.2
2026-02-14 21:00:00+00:00,1.419,1.433,1.41,1.418,141594.0
2026-02-14 22:00:00+00:00,1.416,1.438,1.415,1.428,121610.2
2026-02-14 23:00:00+00:00,1.43,1.431,1.415,1.421,106896.2
2026-02-15 00:00:00+00:00,1.421,1.423,1.407,1.414,102014.7
2026-02-15 01:00:00+00:00,1.414,1.422,1.404,1.415,100038.7
2026-02-15 02:00:00+00:00,1.415,1.42,1.398,1.408,94633.9
2026-02-15 03:00:00+00:00,1.408,1.416,1.392,1.416,124024.5
2026-02-15 04:00:00+00:00,1.414,1.434,1.412,1.415,129046.7
2026-02-15 05:00:00+00:00,1.417,1.429,1.414,1.424,85731.7
2026-02-15 06:00:00+00:00,1.426,1.43,1.414,1.423,143438.9
2026-02-15 07:00:00+00:00,1.423,1.437,1.422,1.433,93051.2
2026-02-15 08:00:00+00:00,1.435,1.438,1.404,1.412,127862.7
2026-02-15 09:00:00+00:00,1.41,1.422,1.409,1.413,89975.8
2026-02-15 10:00:00+00:00,1.415,1.416,1.395,1.407,107512.4
2026-02-15 11:00:00+00:00,1.407,1.414,1.4,1.404,77677.1
2026-02-15 12:00:00+00:00,1.404,1.404,1.363,1.364,312239.4
2026-02-15 13:00:00+00:00,1.364,1.376,1.35,1.355,306954.6
2026-02-15 14:00:00+00:00,1.353,1.369,1.352,1.367,145582.2
2026-02-15 15:00:00+00:00,1.367,1.372,1.361,1.365,112324.8
2026-02-15 16:00:00+00:00,1.365,1.368,1.353,1.361,140143.5
2026-02-15 17:00:00+00:00,1.363,1.365,1.334,1.344,236090.1
2026-02-15 18:00:00+00:00,1.344,1.349,1.331,1.337,207677.6
2026-02-15 19:00:00+00:00,1.337,1.347,1.33,1.338,127155.0
2026-02-15 20:00:00+00:00,1.338,1.351,1.333,1.346,104856.8
2026-02-15 21:00:00+00:00,1.349,1.355,1.346,1.348,92017.8
2026-02-15 22:00:00+00:00,1.35,1.357,1.347,1.355,79118.6
2026-02-15 23:00:00+00:00,1.357,1.358,1.343,1.356,85172.3
2026-02-16 00:00:00+00:00,1.357,1.365,1.352,1.358,93324.0
2026-02-16 01:00:00+00:00,1.356,1.362,1.349,1.352,81346.6
2026-02-16 02:00:00+00:00,1.352,1.358,1.347,1.347,89034.3
2026-02-16 03:00:00+00:00,1.349,1.353,1.345,1.351,89394.5
2026-02-16 04:00:00+00:00,1.353,1.366,1.35,1.366,80331.6
2026-02-16 05:00:00+00:00,1.366,1.371,1.339,1.343,154208.3
2026-02-16 06:00:00+00:00,1.343,1.36,1.343,1.355,98208.8
2026-02-16 07:00:00+00:00,1.353,1.359,1.346,1.351,83473.6
2026-02-16 08:00:00+00:00,1.351,1.358,1.348,1.356,86118.4
2026-02-16 09:00:00+00:00,1.356,1.366,1.352,1.363,95147.7
2026-02-16 10:00:00+00:00,1.363,1.365,1.355,1.36,90661.4
2026-02-16 11:00:00+00:00,1.358,1.361,1.338,1.353,114893.5
2026-02-16 12:00:00+00:00,1.353,1.382,1.352,1.381,225316.0
2026-02-16 13:00:00+00:00,1.381,1.389,1.349,1.352,253980.9
2026-02-16 14:00:00+00:00,1.352,1.366,1.346,1.36,205511.0
2026-02-16 15:00:00+00:00,1.36,1.368,1.332,1.338,244714.5
2026-02-16 16:00:00+00:00,1.34,1.355,1.337,1.348,167716.3
2026-02-16 17:00:00+00:00,1.348,1.353,1.341,1.348,103926.7
2026-02-16 18:00:00+00:00,1.346,1.357,1.346,1.348,96567.6
2026-02-16 19:00:00+00:00,1.35,1.361,1.345,1.354,78406.3
2026-02-16 20:00:00+00:00,1.356,1.37,1.351,1.369,101608.8
2026-02-16 21:00:00+00:00,1.369,1.381,1.362,1.381,120681.4
2026-02-16 22:00:00+00:00,1.381,1.381,1.369,1.377,129771.7
2026-02-16 23:00:00+00:00,1.377,1.378,1.371,1.375,77362.8
2026-02-17 00:00:00+00:00,1.377,1.378,1.366,1.367,84231.3
2026-02-17 01:00:00+00:00,1.369,1.376,1.365,1.365,85590.5
2026-02-17 02:00:00+00:00,1.366,1.376,1.356,1.374,87635.9
2026-02-17 03:00:00+00:00,1.372,1.376,1.366,1.374,95699.5
2026-02-17 04:00:00+00:00,1.374,1.38,1.367,1.377,80943.4
2026-02-17 05:00:00+00:00,1.377,1.378,1.36,1.368,129758.4
2026-02-17 06:00:00+00:00,1.37,1.375,1.368,1.375,84202.3
2026-02-17 07:00:00+00:00,1.375,1.379,1.369,1.371,118018.6
