time,open,high,low,close,volume
2026-02-13 10:00:00+00:00,8.452,8.473,8.428,8.453,26247.8
2026-02-13 11:00:00+00:00,8.453,8.453,8.383,8.432,38032.9
2026-02-13 12:00:00+00:00,8.432,8.451,8.395,8.435,27087.9
2026-02-13 13:00:00+00:00,8.435,8.528,8.409,8.491,83574.8
2026-02-13 14:00:00+00:00,8.489,8.609,8.426,8.561,127753.7
2026-02-13 15:00:00+00:00,8.564,8.819,8.558,8.701,160758.5
2026-02-13 16:00:00+00:00,8.699,8.907,8.68,8.845,110128.0
2026-02-13 17:00:00+00:00,8.847,8.877,8.788,8.821,84459.2
2026-02-13 18:00:00+00:00,8.823,8.834,8.773,8.792,35530.7
2026-02-13 19:00:00+00:00,8.794,8.832,8.768,8.798,30974.9
2026-02-13 20:00:00+00:00,8.8,8.804,8.758,8.794,45994.3
2026-02-13 21:00:00+00:00,8.794,8.842,8.789,8.83,67825.3
2026-02-13 22:00:00+00:00,8.832,8.864,8.796,8.815,48137.3
2026-02-13 23:00:00+00:00,8.813,8.815,8.76,8.765,19218.0
2026-02-14 00:00:00+00:00,8.763,8.837,8.752,8.816,46915.3
2026-02-14 01:00:00+00:00,8.816,8.886,8.8,8.866,48495.9
2026-02-14 02:00:00+00:00,8.868,8.87,8.788,8.82,48522.8
2026-02-14 03:00:00+00:00,8.818,8.851,8.809,8.844,24910.2
2026-02-14 04:00:00+00:00,8.842,8.859,8.82,8.842,19118.5
2026-02-14 05:00:00+00:00,8.84,8.871,8.821,8.823,18226.4
2026-02-14 06:00:00+00:00,8.821,8.826,8.796,8.815,25637.2
2026-02-14 07:00:00+00:00,8.815,8.895,8.812,8.881,29526.0
2026-02-14 08:00:00+00:00,8.881,8.974,8.879,8.957,100130.5
2026-02-14 09:00:00+00:00,8.959,8.991,8.945,8.973,60120.3
2026-02-14 10:00:00+00:00,8.971,8.973,8.918,8.928,31469.8
2026-02-14 11:00:00+00:00,8.926,9.036,8.926,9.031,87017.8
2026-02-14 12:00:00+00:00,9.03,9.035,8.915,8.93,69975.0
2026-02-14 13:00:00+00:00,8.93,8.961,8.893,8.947,85563.7
2026-02-14 14:00:00+00:00,8.947,9.035,8.944,9.026,49891.9
2026-02-14 15:00:00+00:00,9.026,9.044,8.991,9.031,40726.9
2026-02-14 16:00:00+00:00,9.031,9.077,8.965,9.064,66147.2
2026-02-14 17:00:00+00:00,9.064,9.129,9.035,9.039,95059.1
2026-02-14 18:00:00+00:00,9.039,9.121,9.031,9.117,42012.8
2026-02-14 19:00:00+00:00,9.115,9.183,9.094,9.161,62719.2
2026-02-14 20:00:00+00:00,9.163,9.188,9.079,9.135,43542.8
2026-02-14 21:00:00+00:00,9.135,9.2,9.085,9.136,82861.9
2026-02-14 22:00:00+00:00,9.136,9.181,9.117,9.117,36122.7
2026-02-14 23:00:00+00:00,9.117,9.135,9.073,9.085,30036.9
2026-02-15 00:00:00+00:00,9.083,9.1,9.024,9.059,54687.3
2026-02-15 01:00:00+00:00,9.059,9.115,8.994,9.059,56993.9
2026-02-15 02:00:00+00:00,9.059,9.11,8.996,9.044,69126.2
2026-02-15 03:00:00+00:00,9.044,9.078,8.932,9.062,64881.8
