time,open,high,low,close,volume
2026-02-13 10:00:00+00:00,53.21,53.48,53.14,53.35,10355.7
2026-02-13 11:00:00+00:00,53.37,53.51,53.1,53.5,10565.0
2026-02-13 12:00:00+00:00,53.48,53.53,53.23,53.45,8621.0
2026-02-13 13:00:00+00:00,53.45,53.72,53.2,53.63,13281.5
2026-02-13 14:00:00+00:00,53.61,53.99,52.91,53.75,19914.9
2026-02-13 15:00:00+00:00,53.73,54.79,53.64,54.34,16904.5
2026-02-13 16:00:00+00:00,54.32,55.51,54.21,55.08,21238.8
2026-02-13 17:00:00+00:00,55.08,55.12,54.77,54.77,13707.9
2026-02-13 18:00:00+00:00,54.79,55.05,54.56,54.92,10408.1
2026-02-13 19:00:00+00:00,54.92,55.18,54.85,55.08,10272.7
2026-02-13 20:00:00+00:00,55.07,55.35,54.9,55.34,12604.9
2026-02-13 21:00:00+00:00,55.34,55.64,55.29,55.55,10256.2
2026-02-13 22:00:00+00:00,55.53,55.63,55.13,55.25,8485.0
2026-02-13 23:00:00+00:00,55.26,55.26,55.0,55.01,7962.6
2026-02-14 00:00:00+00:00,55.0,55.43,54.83,55.32,21123.8
2026-02-14 01:00:00+00:00,55.36,55.4,55.18,55.32,8138.8
2026-02-14 02:00:00+00:00,55.32,55.41,55.1,55.12,7927.5
2026-02-14 03:00:00+00:00,55.12,55.34,55.08,55.28,7511.6
2026-02-14 04:00:00+00:00,55.28,55.3,55.1,55.24,7342.9
2026-02-14 05:00:00+00:00,55.22,55.4,55.08,55.14,9038.5
2026-02-14 06:00:00+00:00,55.16,55.19,54.93,55.06,7734.3
2026-02-14 07:00:00+00:00,55.06,55.33,55.06,55.26,8252.0
2026-02-14 08:00:00+00:00,55.26,55.76,55.22,55.62,10057.5
2026-02-14 09:00:00+00:00,55.62,55.69,55.48,55.58,8190.7
2026-02-14 10:00:00+00:00,55.6,55.6,55.3,55.33,8740.8
2026-02-14 11:00:00+00:00,55.31,55.86,55.26,55.73,11658.7
2026-02-14 12:00:00+00:00,55.73,55.75,55.2,55.24,23008.8
2026-02-14 13:00:00+00:00,55.26,55.4,55.0,55.32,21057.3
2026-02-14 14:00:00+00:00,55.34,56.19,55.27,56.14,10565.5
2026-02-14 15:00:00+00:00,56.16,56.27,55.8,56.07,14428.7
2026-02-14 16:00:00+00:00,56.09,56.5,55.82,56.4,8695.1
2026-02-14 17:00:00+00:00,56.43,56.61,55.9,55.92,10045.0
2026-02-14 18:00:00+00:00,55.94,56.2,55.77,56.03,10141.6
2026-02-14 19:00:00+00:00,56.03,56.47,55.71,56.3,24143.1
2026-02-14 20:00:00+00:00,56.34,56.45,55.91,56.27,8374.4
2026-02-14 21:00:00+00:00,56.27,56.59,55.86,56.16,11347.3
2026-02-14 22:00:00+00:00,56.14,56.42,56.07,56.29,8297.9
2026-02-14 23:00:00+00:00,56.29,56.37,55.92,55.95,7713.2
2026-02-15 00:00:00+00:00,55.93,55.99,55.44,55.73,24620.7
2026-02-15 01:00:00+00:00,55.73,56.0,55.39,55.86,8554.2
