time,open,high,low,close,volume
2026-02-13 10:00:00+00:00,1.3678,1.3727,1.3643,1.3675,1191532.0
2026-02-13 11:00:00+00:00,1.3677,1.3688,1.36,1.3674,1425579.0
2026-02-13 12:00:00+00:00,1.3674,1.3674,1.359,1.3636,1007075.0
2026-02-13 13:00:00+00:00,1.3636,1.3818,1.361,1.3757,3136341.0
2026-02-13 14:00:00+00:00,1.3759,1.3934,1.3674,1.384,4991948.0
2026-02-13 15:00:00+00:00,1.384,1.421,1.3797,1.404,7645278.0
2026-02-13 16:00:00+00:00,1.404,1.4273,1.3987,1.4159,4015908.0
2026-02-13 17:00:00+00:00,1.4159,1.4203,1.4068,1.4141,1586115.0
2026-02-13 18:00:00+00:00,1.4141,1.4195,1.4054,1.4144,1574497.0
2026-02-13 19:00:00+00:00,1.4146,1.4187,1.4072,1.4106,998701.0
2026-02-13 20:00:00+00:00,1.4105,1.4136,1.4041,1.413,1374773.0
2026-02-13 21:00:00+00:00,1.413,1.4158,1.4061,1.409,1103158.0
2026-02-13 22:00:00+00:00,1.409,1.4093,1.3965,1.4025,1729469.0
2026-02-13 23:00:00+00:00,1.4025,1.408,1.4013,1.4065,1225949.0
2026-02-14 00:00:00+00:00,1.4063,1.4161,1.4044,1.4131,1210167.0
2026-02-14 01:00:00+00:00,1.4137,1.4173,1.4098,1.4117,1214009.0
2026-02-14 02:00:00+00:00,1.4117,1.4139,1.409,1.4099,869197.0
2026-02-14 03:00:00+00:00,1.4101,1.4174,1.4095,1.4155,603742.0
2026-02-14 04:00:00+00:00,1.4157,1.4189,1.4122,1.4124,748386.0
2026-02-14 05:00:00+00:00,1.4124,1.415,1.4071,1.4074,720505.0
2026-02-14 06:00:00+00:00,1.4076,1.4143,1.4071,1.4136,616627.0
2026-02-14 07:00:00+00:00,1.4136,1.4246,1.4112,1.4215,1243790.0
2026-02-14 08:00:00+00:00,1.4213,1.4481,1.4208,1.4459,4899827.0
2026-02-14 09:00:00+00:00,1.4461,1.4598,1.4453,1.451,3862835.0
2026-02-14 10:00:00+00:00,1.4508,1.451,1.4412,1.4461,2262509.0
2026-02-14 11:00:00+00:00,1.4461,1.4729,1.446,1.4708,4000526.0
2026-02-14 12:00:00+00:00,1.4708,1.4758,1.4592,1.4634,3868510.0
2026-02-14 13:00:00+00:00,1.4634,1.4689,1.4511,1.4565,2917840.0
2026-02-14 14:00:00+00:00,1.4563,1.4732,1.4545,1.4701,2116244.0
2026-02-14 15:00:00+00:00,1.4701,1.4721,1.4636,1.4678,1922877.0
2026-02-14 16:00:00+00:00,1.4678,1.4754,1.4563,1.4735,2288578.0
2026-02-14 17:00:00+00:00,1.4737,1.4791,1.4676,1.4728,1800815.0
2026-02-14 18:00:00+00:00,1.4728,1.4924,1.4695,1.487,3180325.0
2026-02-14 19:00:00+00:00,1.4873,1.499,1.4832,1.4969,2170426.0
