timeframe,pattern,direction,family,count,mean_return_30m,median_return_30m,win_rate_30m,mean_return_60m,median_return_60m,win_rate_60m,mean_return_180m,median_return_180m,win_rate_180m,best_use,edge_score
15m,shooting_star,short,reversal,42,0.0008453211694777503,0.0008916692109448014,0.5476190476190477,0.0017514631477444152,0.0004976174225379512,0.6190476190476191,0.004907679319841175,0.0038944652774269544,0.6428571428571429,entry_hold,52.172031293649844
15m,gravestone_doji,short,reversal,15,-0.0003488573749835775,0.0008224265113979783,0.6,-0.0005043563737234507,0.003321031526990315,0.6,0.00159128637254721,0.0036072221499813535,0.6666666666666666,entry_hold,18.9128637254721
15m,bearish_harami,short,reversal,68,0.0004336705650029963,0.0008409313035658557,0.6176470588235294,0.0009306210341443874,0.001215312866374396,0.5882352941176471,0.0012405338869763793,0.000942877743547283,0.5522388059701493,entry_hold,15.34651534035203
15m,inverted_hammer,long,reversal,28,-0.00028784877526730906,-0.001112660220516034,0.35714285714285715,0.0007229180495750808,-0.0005018846365698441,0.42857142857142855,0.0026255306005806994,0.003046765067634374,0.5357142857142857,weak_or_context_only,8.514894781465093
15m,tweezer_top,short,reversal,116,-0.0004108792762659782,0.0005984368899798388,0.5258620689655172,-2.623761450078763e-06,4.549306788579966e-06,0.5,-0.0010583841646926392,-0.00038772726423397333,0.46956521739130436,weak_or_context_only,1.4737623854992123
15m,doji,neutral,indecision,306,0.003426021567863639,0.002392299344122922,1.0,0.004636511947023951,0.0029397553594589427,0.9934426229508196,0.008585092515280779,0.006127239887593469,1.0,exit/watch,0.003426021567863639
15m,long_legged_doji,neutral,indecision,96,0.003416553786180086,0.002392299344122922,1.0,0.004045230672585526,0.0027516464107437523,0.9894736842105263,0.008066303822563325,0.006127239887593469,1.0,exit/watch,0.003416553786180086
15m,spinning_top,neutral,indecision,284,0.0033407128865890973,0.0022675736961450406,1.0,0.0045199387456351225,0.0026738406522202026,0.9929328621908127,0.008521889319914721,0.005772344599188914,1.0,exit/watch,0.0033407128865890973
15m,dragonfly_doji,long,reversal,12,-0.0018893549303470823,-0.0004006612766761853,0.4166666666666667,-0.00021726931795813112,0.00025480647024851423,0.5,0.007226732151538291,0.007999131672704989,0.75,weak_or_context_only,-0.6726931795813114
15m,bullish_marubozu,long,continuation,84,0.0004337149300504055,-0.0008369255611180066,0.40476190476190477,-0.000401958345578791,-0.0009854529317604032,0.42857142857142855,-0.00025741050156167166,-0.0002944501051931053,0.4523809523809524,weak_or_context_only,-2.733869170073625
15m,bullish_harami,long,reversal,74,-0.0009713973464144775,-0.0001125938914036568,0.47297297297297297,-0.00042873119496868623,-0.0004960471505323291,0.43243243243243246,-0.0009968509842052129,3.5977507446278714e-05,0.5,weak_or_context_only,-2.990014652389565
15m,bearish_marubozu,short,continuation,80,-0.0011723410454895513,-0.0013081684425009796,0.375,-0.0004903824018449912,-0.0010152860644600716,0.4,0.00020959634867240097,-0.0013593888669283143,0.475,weak_or_context_only,-3.703824018449912
15m,piercing_line,long,reversal,38,-0.0004051552165006916,-0.00010177311804854071,0.47368421052631576,-0.0007664124968220147,-0.0008597016486801114,0.4473684210526316,-0.00010730783997872183,-0.0011415793783159894,0.4473684210526316,weak_or_context_only,-6.322019705062252
15m,tweezer_bottom,long,reversal,123,-0.0006818285578925866,-0.00038157974012410924,0.4634146341463415,-0.0008930553183995678,-0.0002598102422970899,0.45528455284552843,-0.0016872586148472023,-0.0002821524469672674,0.4878048780487805,weak_or_context_only,-7.564699525459094
15m,bullish_engulfing,long,reversal,101,0.0002528629037629704,-0.0004931848621258113,0.4752475247524752,-0.0009385802859908335,-0.0012112652825597948,0.37623762376237624,-0.0016671683248205063,-0.0007614961791125206,0.45544554455445546,weak_or_context_only,-8.257089988621207
15m,evening_star,short,reversal,8,-0.0011117613682790845,0.0019756606037454136,0.625,-0.0011254956621337441,-7.595442651676162e-05,0.5,-0.0054024840316355275,-0.0038417317580238582,0.375,weak_or_context_only,-9.754956621337442
15m,hanging_man,short,reversal,42,-0.00030556050254406254,-0.000385336086430717,0.42857142857142855,-0.0011030878374318493,-0.0009395441419142168,0.40476190476190477,-0.0009576244641721703,-0.0016498352726583496,0.4146341463414634,weak_or_context_only,-9.816592660032779
15m,bearish_engulfing,short,reversal,100,-0.000525214459598118,0.000609207493894528,0.53,-0.0011775186319737513,-0.00035456694517881516,0.47,-0.0007378284980716446,-0.0008243744877790272,0.46464646464646464,weak_or_context_only,-10.365186319737512
15m,hammer,long,reversal,38,-0.0004286592558676993,0.0001370193102733386,0.5135135135135135,-0.001172043957344704,-0.0007306368634011627,0.43243243243243246,0.00042542119337924425,0.0015480116592717663,0.5675675675675675,weak_or_context_only,-10.423142276149743
15m,dark_cloud_cover,short,reversal,23,6.651917908738551e-05,0.00012833732359148178,0.5217391304347826,-0.0014076807154687202,-0.00021164319778775145,0.4782608695652174,-0.006209333160068167,-0.0017122447577836042,0.391304347826087,weak_or_context_only,-12.64202454599155
15m,three_white_soldiers,long,continuation,4,-0.004205176835761829,-0.003705992744587002,0.25,-0.0022363911587529933,-0.002496987944210263,0.25,-0.009309317366792311,-0.010042875816096598,0.0,weak_or_context_only,-21.613911587529934
15m,three_black_crows,short,continuation,6,-0.0017143092380066279,-0.002139212021510381,0.5,-0.0024371303854865503,-0.0020059928977345935,0.3333333333333333,0.005370246912284364,0.0031130848675144413,0.5,weak_or_context_only,-23.371303854865502
15m,morning_star,long,reversal,11,-0.0019370576802227118,-0.0022764824674133314,0.36363636363636365,-0.003861429604321794,-0.0030446825413867028,0.2727272727272727,-0.002639430418297918,-0.0018641528701693851,0.36363636363636365,weak_or_context_only,-37.79611422503612
