timeframe,pattern,direction,family,count,mean_return_30m,median_return_30m,win_rate_30m,mean_return_60m,median_return_60m,win_rate_60m,mean_return_180m,median_return_180m,win_rate_180m,best_use,edge_score
15m,falling_three_methods,short,continuation,1,0.03018984054932585,0.03018984054932585,1.0,0.022461579888827035,0.022461579888827035,1.0,0.06828104864303437,0.06828104864303437,1.0,entry_hold,687.8104864303438
1h,gravestone_doji,short,reversal,4,0.0020176816274574184,0.001462310171104617,0.75,0.0020176816274574184,0.001462310171104617,0.75,0.007602872494226851,0.007866625065856243,0.75,entry_hold,79.77872494226851
30m,three_black_crows,short,continuation,2,0.007365718968015124,0.007365718968015124,1.0,0.007502094871090978,0.007502094871090978,1.0,0.0074487640626559465,0.0074487640626559465,1.0,entry_hold,79.48764062655947
5m,three_black_crows,short,continuation,30,0.00044893554168754977,0.0005680918363523984,0.5666666666666667,0.0017831858104927671,0.0009660672534233569,0.5666666666666667,0.0049786915386246305,0.0016810997344637037,0.6,entry_hold,52.62024871957964
1h,inverted_hammer,long,reversal,9,0.0036122010089385368,0.0028957479573721765,0.6666666666666666,0.0036122010089385368,0.0028957479573721765,0.6666666666666666,0.003922621366815845,0.004801362588526625,0.5555555555555556,entry_hold,42.55954700149179
15m,shooting_star,short,reversal,68,0.0006336720138582846,0.0002245357387919459,0.5294117647058824,0.0019346394207703935,0.001016129195095301,0.6617647058823529,0.003830062459467892,0.003002019602027631,0.6176470588235294,entry_hold,41.60944812409069
1h,bullish_engulfing,long,reversal,46,0.002829655707754927,0.0011442390189727505,0.5652173913043478,0.002829655707754927,0.0011442390189727505,0.5652173913043478,-0.0016614478226637847,-0.0008412602608403111,0.4782608695652174,entry_scalp_or_exit,30.55742664276666
15m,gravestone_doji,short,reversal,26,0.0022032667564384897,0.0018277296566287017,0.6538461538461539,0.0026162201474359084,0.0035985188527871935,0.6538461538461539,0.0004966798373111258,0.0033635117672124286,0.6153846153846154,entry_scalp_or_exit,28.7775860897437
30m,inverted_hammer,long,reversal,20,0.0024319081496384826,0.0012769380403311196,0.7,0.0016956580248409319,0.0015368997957817098,0.6,0.0025529514441840553,-0.001016032241183707,0.42105263157894735,entry_hold,28.529514441840554
30m,dragonfly_doji,long,reversal,13,0.0004931848234264776,0.001359281953913859,0.6153846153846154,0.0013247894989435092,0.001510495531605417,0.6923076923076923,0.0020835828175119133,-0.0007614961791125206,0.46153846153846156,entry_hold,24.297366636657593
30m,gravestone_doji,short,reversal,14,0.002213554969539204,0.0018644052869528653,0.6428571428571429,0.0009034127865912214,0.0008393551305073092,0.5714285714285714,0.002129406391358535,-0.001354524014958295,0.35714285714285715,entry_hold,24.151206770728205
1h,dragonfly_doji,long,reversal,9,0.001182784641776777,0.0008661851653940575,0.5555555555555556,0.001182784641776777,0.0008661851653940575,0.5555555555555556,0.002115673607155527,0.00044901400190602695,0.6666666666666666,entry_hold,23.934513849333047
15m,bearish_harami,short,reversal,131,0.0006539918572804737,0.0008679019804855274,0.6183206106870229,0.000999885428268327,0.002005499828342688,0.6030534351145038,0.0017075082997633558,0.0014527431208340843,0.5801526717557252,entry_hold,20.090350173206076
5m,bearish_marubozu,short,continuation,544,0.0005331544902667299,9.78258857936042e-05,0.5128676470588235,0.0014145459652005249,0.0004629808541112103,0.5367647058823529,0.001441352739144543,0.00015517490687806283,0.5128676470588235,entry_hold,17.097350920857195
1h,shooting_star,short,reversal,12,0.0008902970150482717,0.0003459320638359757,0.5833333333333334,0.0008902970150482717,0.0003459320638359757,0.5833333333333334,0.0013318935015380715,0.004563326627551105,0.6666666666666666,entry_hold,16.23560168204738
1h,dark_cloud_cover,short,reversal,7,0.0012647655455857794,-0.0007079326466229412,0.42857142857142855,0.0012647655455857794,-0.0007079326466229412,0.42857142857142855,0.007331782407563822,0.00392132273499002,1.0,weak_or_context_only,13.93336974157208
30m,bullish_engulfing,long,reversal,99,0.0005202041335164108,0.0003777994942524103,0.5656565656565656,0.0011781266267240804,0.0004837506111210288,0.5252525252525253,-0.0011670706189903517,0.0003666068594299518,0.5151515151515151,entry_scalp_or_exit,13.882276368250906
5m,hanging_man,short,reversal,196,0.00031517812063753495,0.0005931280997801829,0.5867346938775511,0.0005203161820159948,0.000279081492362357,0.5255102040816326,0.0009368940095957671,0.0007643198192722577,0.5459183673469388,entry_hold,11.996491116365833
5m,bearish_engulfing,short,reversal,637,9.627730531895732e-05,0.0001703751661157427,0.5164835164835165,0.0003163290660549414,0.00032972618987660665,0.5321821036106751,0.000816556542205802,0.00032171191684056297,0.5188679245283019,entry_hold,10.826475940111395
1h,bearish_harami,short,reversal,27,0.0007337551824491451,0.0005948144382308453,0.5555555555555556,0.0007337551824491451,0.0005948144382308453,0.5555555555555556,0.00012536762420620109,0.0023502040468907108,0.6296296296296297,entry_scalp_or_exit,9.559774046713674
30m,hammer,long,reversal,29,0.0020340424093609278,0.0008741674852971009,0.5517241379310345,0.0006993947387007099,-0.0011923020090797967,0.3793103448275862,-0.0004672403331903423,0.000708360075114805,0.5517241379310345,entry_scalp_or_exit,8.511188766317444
30m,bearish_marubozu,short,continuation,65,-0.00042453578988259057,0.00018952023303968118,0.5076923076923077,0.0007062236212289126,-0.0010943357989665022,0.4307692307692308,-0.0026347978547320303,-0.002387322671392444,0.4,weak_or_context_only,8.354543904596818
15m,bearish_engulfing,short,reversal,192,-0.0002799976343257628,4.91093762334184e-05,0.5052083333333334,-0.00013383245157907675,0.00025805062790248105,0.5208333333333334,0.00040235635024019214,-0.00027907673248783597,0.47643979057591623,entry_hold,6.627730169068588
5m,morning_star,long,reversal,75,-5.8702564969491134e-05,0.0002784928780539831,0.56,0.0012968218077192154,0.0006063637879546064,0.5333333333333333,0.00033466086021181635,0.0007044046788344944,0.5333333333333333,entry_hold,6.01327526878483
15m,bullish_harami,long,reversal,152,8.194869293037216e-05,0.0002285561984698935,0.5197368421052632,0.0003914531751297818,0.0002687763071149514,0.5231788079470199,-0.00034883827252089124,0.0005308957176022645,0.5231788079470199,entry_scalp_or_exit,6.007246983085897
30m,bearish_engulfing,short,reversal,80,0.0010849702839163227,0.0006685987614168253,0.5875,0.00040821055984076256,0.00033913419129048047,0.5125,0.001729798814460943,0.0005834020121925397,0.5625,weak_or_context_only,5.619605598407626
30m,tweezer_top,short,reversal,101,0.00013191379983982246,0.0007584930817267854,0.5742574257425742,-0.0006331765540179969,0.00024653591877396634,0.5445544554455446,0.00028834932945072974,0.00038572610401408454,0.5445544554455446,entry_hold,5.606265571735021
5m,bearish_harami,short,reversal,473,0.00011729730900763889,0.0004600407271350041,0.5369978858350951,0.00018805827359205844,0.0005698169403224755,0.5391120507399577,0.00028368837176025874,0.0010863043671601263,0.5699152542372882,entry_hold,5.532443971302376
15m,hanging_man,short,reversal,60,3.768493878137772e-05,3.5993227715067416e-05,0.5,0.0002371159588426298,-0.0005380312681537585,0.4666666666666667,-0.00016321112482318759,-0.0009704024462608596,0.43333333333333335,entry_scalp_or_exit,4.237826255092965
15m,bullish_marubozu,long,continuation,154,0.00034312865057453614,-0.0004979213181914143,0.4155844155844156,0.00023297996321043523,-0.00030583565349932623,0.461038961038961,3.3679408501210154e-05,-0.0002944501051931053,0.461038961038961,entry_scalp_or_exit,4.173955476260197
5m,tweezer_top,short,reversal,764,-2.478433284642642e-05,0.00030628582177072845,0.5301047120418848,0.00012538491920338632,0.0005044426999734195,0.5458115183246073,0.00011239927101661938,0.0003333806015633224,0.5196850393700787,entry_hold,3.85305030178923
